Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Divis Laboratories","https://scanx.trade/company/divis-laboratories-ltd","6,408.50","-1.01%","6,424.00","4,66,870","1,70,125.54","69.29","28.67","7,071.50","4,955.00","6.60%","-1.56%","14.12%","119.83%","90.55%","11.14","0.46%","11.79%","18.85%","63.06","6,282.28","6,386.89","57.58","76.00%","87.50%"
"Bharat Petroleum","https://scanx.trade/company/bharat-petroleum-ltd","385.40","-0.16%","386.65","90,20,770","1,67,206.00","6.80","9.94","391.65","234.01","10.38%","4.83%","57.47%","142.73%","71.34%","1.78","2.55%","35.51%","17.05%","44.92","369.99","343.77","59.77","76.00%","87.50%"
"Bank of Baroda","https://scanx.trade/company/bank-of-baroda-ltd","321.95","-0.77%","325.00","1,46,86,416","1,66,492.01","8.54","10.57","325.50","190.70","8.71%","11.63%","58.46%","108.25%","276.99%","1.02","2.58%","15.25%","5.69%","36.82","299.07","266.34","69.37","76.00%","87.50%"
"Jio Financial Services","https://scanx.trade/company/jio-financial-services-ltd","255.40","-0.29%","257.00","1,32,83,249","1,62,259.24","101.25","30.80","338.60","198.65","0.99%","-17.08%","15.20%","2.61%","2.61%","1.21","0.20%","1.15%","1.49%","2.50","274.17","299.04","36.97","75.00%","87.50%"
"Adani Green Energy","https://scanx.trade/company/adani-green-energy-ltd","947.35","-1.93%","960.35","11,56,653","1,56,045.23","85.65","35.41","1,177.55","758.00","22.59%","-8.42%","16.70%","94.73%","-18.32%","8.14","-","7.22%","8.15%","8.71","955.76","997.41","47.73","68.03%","80.00%"
"Union Bank of India","https://scanx.trade/company/union-bank-of-india-ltd","202.27","0.36%","202.01","2,34,19,781","1,54,404.94","8.12","10.57","203.20","107.60","17.07%","30.16%","75.69%","202.57%","398.20%","1.23","2.36%","14.05%","6.23%","18.56","173.40","150.36","73.89","73.93%","86.49%"
"HDFC Life Insurance","https://scanx.trade/company/hdfc-life-insurance-ltd","715.30","-2.55%","733.00","34,16,009","1,54,334.26","83.80","30.80","820.75","600.35","0.45%","-9.17%","15.67%","48.14%","2.09%","9.00","0.29%","10.73%","0.60%","7.61","734.12","757.76","44.59","78.00%","91.00%"
"ICICI Prudential Asset Management","https://scanx.trade/company/icici-prudential-asset-management-company-ltd","3,112.10","-0.04%","3,116.90","2,70,097","1,53,818.19","58.06","30.80","3,193.00","2,530.00","12.07%","20.35%","20.35%","20.35%","20.35%","2.13","1.40%","-","98.60%","-","-","-","60.40","-","80.00%"
"Varun Beverages","https://scanx.trade/company/varun-beverages-ltd","451.40","-1.97%","461.95","45,55,709","1,52,662.97","50.88","47.30","568.50","419.55","-4.79%","-3.03%","0.69%","74.75%","386.89%","7.95","0.11%","29.67%","20.86%","18.65","473.07","474.07","42.73","75.00%","87.50%"
"Pidilite Industries","https://scanx.trade/company/pidilite-industries-ltd","1,492.00","-1.64%","1,518.90","16,06,678","1,51,842.93","66.71","16.37","1,574.95","1,311.10","3.05%","0.51%","11.46%","31.12%","76.99%","16.16","0.66%","20.28%","26.80%","36.93","1,470.58","1,495.36","54.13","78.00%","87.50%"
"DLF","https://scanx.trade/company/dlf-ltd","603.85","-1.14%","610.00","40,23,729","1,49,471.90","34.14","19.99","886.80","586.65","2.62%","-17.37%","-6.00%","74.50%","99.62%","3.52","0.98%","4.13%","5.62%","11.50","653.61","744.04","36.09","76.00%","87.50%"
